ID,Name,Types,Weaknesses,Evolution,HP,Attack,Defense,SpAttack,SpDefense,Speed,HeightM,WeightKg,Generation,Region,FirstLocation,Genus,Bio,Fact
437,Bronzong,"Steel,Psychic","Fire,Ground,Ghost,Dark",,67,89,116,79,116,33,1.3,187.0,Gen IV,Sinnoh,Mt. Coronet (Diamond),Bronze Bell Pokémon,Some believe that its bell-like cry opens holes to another world. It has been revered as a deity since ancient times.,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
438,Bonsly,Rock,"Water,Grass,Fighting,Ground,Steel",185,50,80,95,10,45,10,0.5,15.0,Gen IV,Sinnoh,Trophy Garden (Diamond),Bonsai Pokémon,"Its tears elicit sympathy from those who see them, but do not be deceived! This expulsion of body water is merely a physiological mechanism for keeping itself in good health.",It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.
439,Mime Jr.,"Psychic,Fairy","Steel,Poison,Ghost",122,20,25,45,70,90,60,0.6,13.0,Gen IV,Sinnoh,Route 209 (Diamond),Mime Pokémon,"Known to turn up in bustling marketplaces now and again. It mimics people much as a child would, then watches how they react, eyes sparkling.","It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
440,Happiny,Normal,Fighting,113,100,5,5,15,65,30,0.6,24.4,Gen IV,Sinnoh,Hearthome City (Diamond),Playhouse Pokémon,"In imitation of Chansey, it keeps a round stone tucked into its belly pouch and cherishes it dearly. It gets along well with children and will sometimes play house with them for fun.",It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.
441,Chatot,"Normal,Flying","Electric,Ice,Rock",,76,65,45,92,42,91,0.5,1.9,Gen IV,Sinnoh,Route 222 (Diamond),Music Note Pokémon,"A versatile performer skilled in the imitation of human speech. It is said that older, more experienced Chatot can even understand the meaning of the words they mimic.","It can learn and speak human words. If they gather, they all learn the same saying."
442,Spiritomb,"Ghost,Dark",Fairy,,50,92,108,92,108,35,1.0,108.0,Gen IV,Sinnoh,Route 209 (Diamond),Forbidden Pokémon,It lays curses by thinking wicked thoughts. Writings tell that this Pokémon was born out of the assembly of five score and eight malevolent spirits.,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.
443,Gible,"Dragon,Ground","Ice,Dragon,Fairy",444,58,70,45,40,45,42,0.7,20.5,Gen IV,Sinnoh,Wayward Cave (Diamond),Land Shark Pokémon,"It nests in caves untouched by sunlight. Its sharp teeth may fall out when worn away or after an impact, but they regrow within a few days.","It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close."
444,Gabite,"Dragon,Ground","Ice,Dragon,Fairy",445,68,90,65,50,55,82,1.4,56.0,Gen IV,Sinnoh,Victory Road (Platinum),Cave Pokémon,"Though Gabite are usually of a violent disposition, when I gave one a glass bead it had been eyeing covetously, it suddenly became quite docile.",There is a long-held belief that medicine made from its scales will heal even incurable illnesses.
445,Garchomp,"Dragon,Ground","Ice,Dragon,Fairy",,108,130,95,80,85,102,1.9,95.0,Gen IV,Sinnoh,Evolves from Gabite,Mach Pokémon,Soars across the heavens at blinding speed—a magnificent sight! It has a feral disposition. Utmost caution is required if one meets a Garchomp out in the wilds.,"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed."
446,Munchlax,Normal,Fighting,143,135,85,40,40,85,5,0.6,105.0,Gen IV,Sinnoh,Route 205 (Diamond),Big Eater Pokémon,"Its robust stomach allows it to nonchalantly devour even rotted matter. It pays frequent visits to villages, seeking out food scraps intended for compost.","It wolfs down its weight in food once a day, swallowing food whole with almost no chewing."
447,Riolu,Fighting,"Flying,Psychic,Fairy",448,40,70,40,35,40,60,0.7,20.2,Gen IV,Sinnoh,Iron Island (Diamond),Emanation Pokémon,"Though infantile in appearance, it has the mysterious ability to read the minds of humans. The pure of heart are met with Riolu's approval, while those of ill nature earn only its loathing.",The aura that emanates from its body intensifies to alert others if it is afraid or sad.
448,Lucario,"Fighting,Steel","Fire,Ground,Fighting",,70,110,70,115,70,90,1.2,54.0,Gen IV,Sinnoh,Tower of Mastery (X),Aura Pokémon,"A most gallant-looking creature. It emits energy waves and controls them with precision, using them to sense even faraway beings. I have given the name ”aura” to this power.",It has the ability to sense the auras of all things. It understands human speech.
449,Hippopotas,Ground,"Water,Grass,Ice",450,68,72,78,38,42,32,0.8,49.5,Gen IV,Sinnoh,Ruin Maniac Cave (Diamond),Hippo Pokémon,"Though large and languid, Hippopotas is difficult to detect due to its tendency to burrow into and lurk beneath the soil. When agitated or excited, it expels sand from its nostrils.","It lives in arid places. Instead of perspiration, it expels grainy sand from its body."
450,Hippowdon,Ground,"Water,Grass,Ice",,108,112,118,68,72,47,2.0,300.0,Gen IV,Sinnoh,Route 228 (Diamond),Heavyweight Pokémon,"Short-tempered and easily moved to violence. It whips up whirlwinds of sand to crush its foes' spirits, then goes in for the attack.",It blasts internally stored sand from ports on its body to create a towering twister for attack.
451,Skorupi,"Poison,Bug","Fire,Psychic,Flying,Rock",452,40,50,90,30,55,65,0.8,12.0,Gen IV,Sinnoh,Great Marsh (Diamond),Scorpion Pokémon,"Its claws are not only razor-sharp but poisonous, making Skorupi a highly dangerous Pokémon. It seems to be weakened by cold temperatures, however.",It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.
452,Drapion,"Poison,Dark","Ground,Psychic",,70,90,110,60,75,95,1.3,61.5,Gen IV,Sinnoh,Great Marsh (Diamond),Ogre Scorpion Pokémon,"Has a brutish, ferocious temperament. With immense strength and a sturdy shell off which swords will bounce, it rampages about and wreaks havoc.",It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.
453,Croagunk,"Poison,Fighting","Ground,Psychic,Flying,Psychic,Fairy",454,48,61,40,61,40,50,0.7,23.0,Gen IV,Sinnoh,Great Marsh (Diamond),Toxic Mouth Pokémon,"A poison wielder with a dastardly personality. Despite such qualities, this species is afforded a measure of popularity due to its peculiar cry and comical features.",Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.
454,Toxicroak,"Poison,Fighting","Ground,Psychic,Flying,Psychic,Fairy",,83,106,65,86,65,85,1.3,44.4,Gen IV,Sinnoh,Great Marsh (Diamond),Toxic Mouth Pokémon,"Its crimson claws contain a virulent toxin. This toxin can be made into a tonic by diluting it, mixing it with several types of wild grass, and boiling it down over two days.",Has the highest base Attack (106) of all 69 Poison-type Pokémon.
455,Carnivine,Grass,"Fire,Ice,Poison,Flying,Bug",,74,100,72,90,72,46,1.4,27.0,Gen IV,Sinnoh,Great Marsh (Diamond),Bug Catcher Pokémon,"Though this is a plant Pokémon, it has a gluttonous and unruly temperament. Carnivine attacks its prey with its cavernous maw wide open.","It attracts prey with its sweet- smelling saliva, then chomps down. It takes a whole day to eat prey."
456,Finneon,Water,"Electric,Grass",457,49,49,56,49,61,66,0.4,7.0,Gen IV,Sinnoh,Canalave City (Diamond),Wing Fish Pokémon,"What a gorgeous sight this Pokémon is as it swims with its long, pink-painted caudal fins fluttering behind it. Finneon's beautiful appearance has led to its nickname: ”finery fish.”","After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives."
457,Lumineon,Water,"Electric,Grass",,69,69,76,69,86,91,1.2,24.0,Gen IV,Sinnoh,Canalave City (Diamond),Neon Pokémon,Uses its gleaming fins to hunt its prey. The view of Lumineon schooling near the surface of the sea at night is breathtaking— it's as though there were shining stars right there.,It lives on the deep-sea floor. It attracts prey by flashing the patterns on its four tail fins.
458,Mantyke,"Water,Flying","Electric,Rock",226,45,20,50,60,120,50,1.0,65.0,Gen IV,Sinnoh,Sunyshore City (Diamond),Kite Pokémon,"Though ball-like in shape, this Pokémon is a proficient swimmer. I have discovered that if a Mantyke spends much time with schools of Remoraid, it will eventually achieve evolution.",A friendly Pokémon that captures the subtle flows of seawater using its two antennae.
459,Snover,"Grass,Ice","Fire,Fighting,Poison,Flying,Bug,Rock,Steel",460,60,62,50,62,60,40,1.0,50.5,Gen IV,Sinnoh,Mt. Coronet (Diamond),Frost Tree Pokémon,"One is likely to encounter this Pokémon while out in the snow. There are stories of Snover appearing in human settlements but doing no harm—rather, they bond with the children.","It lives on snowy mountains. Having had little contact with humans, it is boldly inquisitive."
460,Abomasnow,"Grass,Ice","Fire,Fighting,Poison,Flying,Bug,Rock,Steel",,90,92,75,92,85,60,2.2,135.5,Gen IV,Sinnoh,Mt. Coronet (Diamond),Frost Tree Pokémon,"A powerful Pokémon that can split huge boulders with ease. Dislikes associating with others and chooses to live quietly deep within the mountains, playing with the snow.",It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.
461,Weavile,"Dark,Ice","Fire,Fighting,Bug,Rock,Steel,Fairy",,70,120,65,45,85,125,1.1,34.0,Gen IV,Sinnoh,Bridge Field (Sword),Sharp Claw Pokémon,"This species corners prey as a pack, under the guidance of a leader. Weavile displays increased cunning, leading me to speculate that its evolution caused further brain development.",Has the highest base Speed (125) of all 41 Ice-type Pokémon.
462,Magnezone,"Electric,Steel","Fire,Fighting,Ground",,70,70,115,130,90,60,1.2,180.0,Gen IV,Sinnoh,P2 Laboratory (Black 2),Magnet Area Pokémon,"I theorize that a special magnetic field influenced this Pokémon, changing its molecular structure and causing it to evolve. It emits strange radio waves toward space from its antenna.",It evolved from exposure to a special magnetic field. Three units generate magnetism.
463,Lickilicky,Normal,Fighting,,110,85,95,80,95,50,1.7,140.0,Gen IV,Sinnoh,Route 2 (Black 2),Licking Pokémon,"Its tongue can extend and contract freely, and it is capable of reaching lengths over 10 times Lickilicky's height. Beware of the saliva, as it contains corrosive elements.",It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.
464,Rhyperior,"Ground,Rock","Water,Grass,Ice,Fighting,Ground,Steel",112,115,140,130,55,55,40,2.4,282.8,Gen IV,Sinnoh,Potbottom Desert (The Isle Of Armor Sword),Drill Pokémon,This Pokémon evolved through use of a curious item. Its rocklike hide is composed of a mysterious substance and can withstand a blow from a masterwork sword with nary a scratch.,Has the highest base HP (115) of all 67 Ground-type Pokémon.
465,Tangrowth,Grass,"Fire,Ice,Poison,Flying,Bug",,100,100,125,110,50,50,2.0,128.6,Gen IV,Sinnoh,Giant Chasm (Black),Vine Pokémon,"Draped with long vines, it resembles a shrub in appearance. It swings bundles of vines as though they were arms, wrapping them around prey to ensnare them.",It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.
466,Electivire,Electric,Ground,125,75,123,67,95,85,95,1.8,138.6,Gen IV,Sinnoh,Special encounter,Thunderbolt Pokémon,"Its evolution was induced by an unusual item, and its electrical output rises along with its heart rate. From its tails, it can unleash an electric current measuring 20,000 volts.","It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power."
467,Magmortar,Fire,"Water,Ground,Rock",126,75,95,67,125,95,83,1.6,68.0,Gen IV,Sinnoh,Special encounter,Blast Pokémon,Use of a strange item caused this Pokémon to evolve. Fireballs launched from the ends of its tubelike arms are hot enough to melt an iron pot in an instant.,"It blasts fireballs of over 3,600 degrees F from the ends of its arms. It lives in volcanic craters."
468,Togekiss,"Fairy,Flying","Steel,Poison,Electric,Ice,Rock",176,85,50,95,120,115,80,1.5,38.0,Gen IV,Sinnoh,Poni Gauntlet (Sun),Jubilee Pokémon,"Scant few have ever sighted this Pokémon. After studying what literature remains, I am certain Togekiss will reveal itself when peace reigns in the land.",It will never appear where there is strife. Its sightings have become rare recently.
469,Yanmega,"Bug,Flying","Fire,Electric,Ice,Flying,Rock",193,86,76,86,116,56,95,1.9,51.5,Gen IV,Sinnoh,Pinwheel Forest (Black 2),Ogre Darner Pokémon,"Extremely violent. When hunting, it wastes none of its energy, aiming only for prey's most vulnerable spots. Any who manage to tame this Pokémon must be of incredible bravery.","By churning its wings, it creates shock waves that inflict critical internal injuries to foes."
470,Leafeon,Grass,"Fire,Ice,Poison,Flying,Bug",,65,110,130,60,65,95,1.0,25.5,Gen IV,Sinnoh,Lake of Outrage (Sword),Verdant Pokémon,"Cells similar to those of plants have been found in its fur. Its hard tail can fell a large tree with one stroke, and the tail's sharpness exceeds even that of a sword crafted by a master.","Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air."
471,Glaceon,Ice,"Fire,Fighting,Rock,Steel",,65,60,110,130,95,65,0.8,25.9,Gen IV,Sinnoh,Lake of Outrage (Sword),Fresh Snow Pokémon,"Glaceon is able to lower its body temperature very quickly. It freezes the atmosphere, creating diamond dust that glitters like gems while it flutters and dances around.","As a protective technique, it can completely freeze its fur to make its hairs stand like needles."
472,Gliscor,"Ground,Flying","Water,Ice",,75,95,125,45,75,95,2.0,42.5,Gen IV,Sinnoh,Route 11 (Black),Fang Scorpion Pokémon,It glides soundlessly on pitch-black wings and sinks sharp fangs into the throat of its prey. It takes on a look of satisfaction once it has entirely drained its prey of blood.,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!"
473,Mamoswine,"Ice,Ground","Fire,Water,Grass,Fighting,Steel",,110,130,80,70,60,80,2.5,291.0,Gen IV,Sinnoh,Giant Chasm (Black),Twin Tusk Pokémon,"This species reached its zenith during the period known as the ice age. I suspect that Hisui's frigid climate is in harmony with Mamoswine's constitution, thus awakening hidden potential.",Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
474,Porygon-Z,Normal,Fighting,233,85,80,70,135,75,90,0.9,34.0,Gen IV,Sinnoh,Special encounter,Virtual Pokémon,"A curious item induced this evolution. The Pokémon's offensive capabilities have greatly increased, but the strangeness of its behavior has magnified in equal measure. This worries me.","Additional software was installed to make it a better Pokémon. It began acting oddly, however."
475,Gallade,"Psychic,Fighting","Flying,Ghost,Fairy",281,68,125,65,65,115,80,1.6,52.0,Gen IV,Sinnoh,Bridge Field (Sword),Blade Pokémon,"The blades extending from its elbows are sharper than the finest swords. Its swordsmanship, albeit self-taught, is astonishingly impressive.","A master of courtesy and swordsmanship, it fights using extending swords on its elbows."
476,Probopass,"Rock,Steel","Fighting,Ground,Water",,60,55,145,75,150,40,1.4,340.0,Gen IV,Sinnoh,Evolves from Nosepass,Compass Pokémon,"It is able to emit powerful magnetism, allowing it control over the iron sand that forms its luscious mustache. Using this iron sand, Probopass forms hard stones with which it smites its prey.",It exudes strong magnetism from all over. It controls three small units called Mini-Noses.
477,Dusknoir,Ghost,"Ghost,Dark",356,45,100,135,65,135,45,2.2,106.6,Gen IV,Sinnoh,Stony Wilderness (Sword),Gripper Pokémon,"Comes to those whose lives have come to an end and escorts their souls to the afterlife. Known to mistakenly take the souls of those who yet have life left in them, albeit rarely.",The antenna on its head captures radio waves from the world of spirits that command it to take people there.
478,Froslass,"Ice,Ghost","Fire,Rock,Ghost,Dark,Steel",361,70,80,70,80,70,110,1.3,26.6,Gen IV,Sinnoh,Special encounter,Snow Land Pokémon,A Pokémon inhabited by the soul of a woman who died bearing a grudge in the snowy mountains. Legends of Froslass placing deathly curses on misbehaving men send shivers down my spine.,The only Ice/Ghost type in the entire Pokédex.
479,Rotom,"Electric,Ghost","Ground,Ghost,Dark",,50,50,77,95,77,91,0.3,0.3,Gen IV,Sinnoh,Old Chateau (Diamond),Plasma Pokémon,"This bizarre Pokémon appears to be a will-o'-the-wisp powered by electricity. Be wary, as Rotom is both smart and mischievous.",The only Electric/Ghost type in the entire Pokédex.
480,Uxie,Psychic,"Bug,Ghost,Dark",,75,75,130,75,130,95,0.3,0.3,Gen IV,Sinnoh,Lake Acuity (Diamond),Knowledge Pokémon,A Pokémon feared but also respected for stealing away the memories of evildoers. I have found records that suggest Uxie holds dominion over knowledge.,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.
481,Mesprit,Psychic,"Bug,Ghost,Dark",,80,105,105,105,105,80,0.3,0.3,Gen IV,Sinnoh,Roaming Sinnoh (Diamond),Emotion Pokémon,"Known as the Being of Emotion. In legend, this Pokémon was feared, as any who showed disrespect would have their emotions thrown into disarray.","Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
482,Azelf,Psychic,"Bug,Ghost,Dark",,75,125,70,125,70,115,0.3,0.3,Gen IV,Sinnoh,Lake Valor (Diamond),Willpower Pokémon,The dreaded Being of Willpower. Legends tell of this Pokémon manipulating the will of its adversaries and turning them into puppets of its own.,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
483,Dialga,"Steel,Dragon","Fighting,Ground",,100,120,120,150,100,90,5.4,683.0,Gen IV,Sinnoh,Spear Pillar (Diamond),Temporal Pokémon,This Pokémon is revered as a deity in Hisuian legend. The birth of Dialga was what caused the vast river of time to begin flowing in our world.,Has the highest base Sp. Attack (150) of all 54 Steel-type Pokémon.
484,Palkia,"Water,Dragon","Dragon,Fairy",,90,120,100,150,120,100,4.2,336.0,Gen IV,Sinnoh,Spear Pillar (Pearl),Spatial Pokémon,"This Pokémon is feared as a deity in Hisuian legend. The birth of Palkia was what caused the walls of our world to disappear, creating a sky that spans for infinity.",Has the highest base total base stats (680) of all 141 Water-type Pokémon.
485,Heatran,"Fire,Steel","Water,Fighting,Ground",,91,90,106,130,106,77,1.7,430.0,Gen IV,Sinnoh,Stark Mountain (Diamond),Lava Dome Pokémon,Stories tell of this Pokémon being birthed from the boiling magma within Mount Coronet. Its molten-steel body holds many mysteries.,The only Fire/Steel type in the entire Pokédex.
486,Regigigas,Normal,Fighting,,110,160,110,80,110,100,3.7,420.0,Gen IV,Sinnoh,Snowpoint Temple (Diamond),Colossal Pokémon,"According to legend, Regigigas pulled landmasses together and bound them with rope to create the continent of Hisui. Though I have my doubts, the story could well contain a shred of truth.",There is an enduring legend that states this Pokémon towed continents with ropes.
487,Giratina,"Ghost,Dragon","Ghost,Dark,Ice,Dragon,Fairy",,150,100,120,100,120,90,4.5,750.0,Gen IV,Sinnoh,Distortion World (Platinum),Renegade Pokémon,There is one Hisuian verse that tells of a powerful light creating a deep shadow. I imagine that this deep shadow is Giratina.,A Pokémon that is said to live in a world on the reverse side of ours. It appears in an ancient cemetery.
488,Cresselia,Psychic,"Bug,Ghost,Dark",,120,70,110,75,120,85,1.5,85.6,Gen IV,Sinnoh,Roaming Sinnoh (Diamond),Lunar Pokémon,Cresselia is reminiscent of the crescent moon. It leaves a brilliant line of light in its wake as it flies across the night sky. I daresay it resembles the heavenly maiden who created the Milky Way.,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
489,Phione,Water,"Electric,Grass",,80,80,80,80,80,80,0.4,3.1,Gen IV,Sinnoh,Special encounter,Sea Drifter Pokémon,Can be seen floating offshore during seasons when the seas are warm. Its azure body blends in with the ocean waters—logic suggests this is a defense mechanism against natural predators.,A Pokémon that lives in warm seas. It inflates the flotation sac on its head to drift and search for food.
490,Manaphy,Water,"Electric,Grass",,100,100,100,100,100,100,0.3,1.4,Gen IV,Sinnoh,,Seafaring Pokémon,"Rumored to migrate across the oceans and visit Hisui's coastal waters only rarely. Although Manaphy resembles Phione, it is also quite different. The relation between the two is unclear.","Born on a cold seafloor, it will swim great distances to return to its birthplace."
491,Darkrai,Dark,"Fighting,Bug,Fairy",,70,90,90,135,90,125,1.5,50.5,Gen IV,Sinnoh,Newmoon Island (Diamond),Pitch-Black Pokémon,"On a moonless night, a strange incident occurred in which every one of a village's inhabitants suffered nightmares. The villagers attested that Darkrai appeared before them in these nightmares.",Has the highest base Sp. Attack (135) of all 55 Dark-type Pokémon.
492,Shaymin,Grass,"Fire,Ice,Poison,Flying,Bug",,100,100,100,100,100,100,0.2,2.1,Gen IV,Sinnoh,Flower Paradise (Diamond),Gratitude Pokémon,"When the turning of seasons brings the cruel winter to its end and the joyous people give thanks to the heavens, Shaymin appears and covers the withered land with flowers.",It lives in flower patches and avoids detection by curling up to look like a flowering plant.
493,Arceus,Normal,Fighting,,120,120,120,120,120,120,3.2,320.0,Gen IV,Sinnoh,Hall of Origin (Diamond),Alpha Pokémon,It is the heavenly fount from which pours the light that shines across Hisui. Its luminance guides and protects all Pokémon. Hisuian mythology states that Arceus is the creator of all things.,Has the highest base total base stats (720) of all 898 Pokémon.
494,Victini,"Psychic,Fire","Water,Ground,Rock,Ghost,Dark",,100,100,100,100,100,100,0.4,4.0,Gen V,Unova,Liberty Garden (Black),Victory Pokémon,"When it shares the infinite energy it creates, that being’s entire body will be overflowing with power.","This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter."
495,Snivy,Grass,"Fire,Ice,Poison,Flying,Bug",496,45,45,55,45,55,63,0.6,8.1,Gen V,Unova,Nuvema Town (Black),Grass Snake Pokémon,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.",It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.
496,Servine,Grass,"Fire,Ice,Poison,Flying,Bug",497,60,60,75,60,75,83,0.8,16.0,Gen V,Unova,Evolves from Snivy,Grass Snake Pokémon,"When it gets dirty, its leaves can’t be used in photosynthesis, so it always keeps itself clean.","It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip."
497,Serperior,Grass,"Fire,Ice,Poison,Flying,Bug",,75,75,95,75,95,113,3.3,63.0,Gen V,Unova,Exeggutor Island (Sun),Regal Pokémon,It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.,They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent.
498,Tepig,Fire,"Water,Ground,Rock",499,65,63,45,45,45,45,0.5,9.9,Gen V,Unova,Nuvema Town (Black),Fire Pig Pokémon,"It loves to eat roasted berries, but sometimes it gets too excited and burns them to a crisp.",It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.
499,Pignite,"Fire,Fighting","Water,Ground,Psychic,Flying",500,90,93,55,70,55,55,1.0,55.5,Gen V,Unova,Evolves from Tepig,Fire Pig Pokémon,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke.","Whatever it eats becomes fuel for the flame in its stomach. When it is angered, the intensity of the flame increases."
500,Emboar,"Fire,Fighting","Water,Ground,Psychic,Flying",,110,123,65,100,65,65,1.6,150.0,Gen V,Unova,Ancient Poni Path (Sun),Mega Fire Pig Pokémon,It has mastered fast and powerful fighting moves. It grows a beard of fire.,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.
501,Oshawott,Water,"Electric,Grass",502,55,55,45,63,45,45,0.5,5.9,Gen V,Unova,Nuvema Town (Black),Sea Otter Pokémon,"This Pokémon from the Unova region uses the shell on its belly as a weapon to cut down its foes. Thus, I've conferred upon this shell the name ”scalchop”.","It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing."
502,Dewott,Water,"Electric,Grass",503,75,75,60,83,60,60,0.8,24.5,Gen V,Unova,Evolves from Oshawott,Discipline Pokémon,"Its exquisite double-scalchop technique is likely the result of daily training, and it can send even masters of the blade fleeing in defeat.",Strict training is how it learns its flowing double-scalchop technique.
503,Samurott,Water,"Electric,Grass",,95,100,85,108,70,70,1.5,94.6,Gen V,Unova,Poni Wilds (Sun),Formidable Pokémon,"Hard of heart and deft of blade, this rare form of Samurott is a product of the Pokémon's evolution in the region of Hisui. Its turbulent blows crash into foes like ceaseless pounding waves.",One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.
504,Patrat,Normal,Fighting,505,45,55,39,35,39,42,0.5,11.6,Gen V,Unova,Dreamyard (Black),Scout Pokémon,"Extremely cautious, one of them will always be on the lookout, but it won’t notice a foe coming from behind.","Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others."
505,Watchog,Normal,Fighting,,60,85,69,60,69,77,1.1,27.0,Gen V,Unova,Dreamyard (Black),Lookout Pokémon,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches.",They make the patterns on their bodies shine in order to threaten predators. Keen eyesight lets them see in the dark.
506,Lillipup,Normal,Fighting,507,45,60,45,25,45,55,0.4,4.1,Gen V,Unova,Route 1 (Black),Puppy Pokémon,"This Pokémon is far brighter than the average child, and Lillipup won’t forget the love it receives or any abuse it suffers.","It faces strong opponents with great courage. But, when at a disadvantage in a fight, this intelligent Pokémon flees."
507,Herdier,Normal,Fighting,508,65,80,65,35,65,60,0.9,14.7,Gen V,Unova,Cold Storage (Black),Loyal Dog Pokémon,The black fur that covers this Pokémon’s body is dense and springy. Even sharp fangs bounce right off.,"It has black, cape-like fur that is very hard and decreases the amount of damage it receives."
508,Stoutland,Normal,Fighting,,85,110,90,45,90,80,1.2,61.0,Gen V,Unova,Cold Storage (Black),Big-Hearted Pokémon,Stoutland is immensely proud of its impressive moustache. It’s said that moustache length is what determines social standing among this species.,It rescues people stranded by blizzards in the mountains. Its shaggy fur shields it from the cold.
509,Purrloin,Dark,"Fighting,Bug,Fairy",510,41,50,37,50,37,66,0.4,10.1,Gen V,Unova,Dreamyard (Black),Devious Pokémon,Opponents that get drawn in by its adorable behavior come away with stinging scratches from its claws and stinging pride from its laughter.,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect."
510,Liepard,Dark,"Fighting,Bug,Fairy",,64,88,50,88,50,106,1.1,37.5,Gen V,Unova,Dreamyard (Black),Cruel Pokémon,This stealthy Pokémon sneaks up behind prey without making any sound at all. It competes with Thievul for territory.,These Pokémon vanish and appear unexpectedly. Many Trainers are drawn to their beautiful form and fur.
511,Pansage,Grass,"Fire,Ice,Poison,Flying,Bug",512,50,53,48,53,48,64,0.6,10.5,Gen V,Unova,Pinwheel Forest (Black),Grass Monkey Pokémon,It’s good at finding berries and gathers them from all over. It’s kind enough to share them with friends.,This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.
512,Simisage,Grass,"Fire,Ice,Poison,Flying,Bug",,75,98,63,98,63,101,1.1,30.5,Gen V,Unova,Evolves from Pansage,Thorn Monkey Pokémon,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.
513,Pansear,Fire,"Water,Ground,Rock",514,50,53,48,53,48,64,0.6,11.0,Gen V,Unova,Pinwheel Forest (Black),High Temp Pokémon,This Pokémon lives in caves in volcanoes. The fire within the tuft on its head can reach 600 degrees Fahrenheit.,"When it is angered, the temperature of its head tuft reaches 600° F. It uses its tuft to roast berries."
514,Simisear,Fire,"Water,Ground,Rock",,75,98,63,98,63,101,1.0,28.0,Gen V,Unova,Evolves from Pansear,Ember Pokémon,"When it gets excited, embers rise from its head and tail and it gets hot. For some reason, it loves sweets.",It loves sweets because they become energy for the fire burning inside its body.
515,Panpour,Water,"Electric,Grass",516,50,53,48,53,48,64,0.6,13.5,Gen V,Unova,Pinwheel Forest (Black),Spray Pokémon,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.,It does not thrive in dry environments. It keeps itself damp by shooting water stored in its head tuft from its tail.
516,Simipour,Water,"Electric,Grass",,75,98,63,98,63,101,1.0,29.0,Gen V,Unova,Evolves from Panpour,Geyser Pokémon,"It prefers places with clean water. When its tuft runs low, it replenishes it by siphoning up water with its tail.","The tuft on its head holds water. When the level runs low, it replenishes the tuft by siphoning up water with its tail."
517,Munna,Psychic,"Bug,Ghost,Dark",518,76,25,45,67,55,24,0.6,23.3,Gen V,Unova,Dreamyard (Black),Dream Eater Pokémon,"It eats dreams and releases mist. The mist is pink when it’s eating a good dream, and black when it’s eating a nightmare.",Munna always float in the air. People whose dreams are eaten by them forget what the dreams had been about.
518,Musharna,Psychic,"Bug,Ghost,Dark",,116,55,85,107,95,29,1.1,60.5,Gen V,Unova,Dreamyard (Black),Drowsing Pokémon,"It drowses and dreams all the time. It’s best to leave it be if it’s just woken up, as it’s a terrible grump when freshly roused from sleep.",The mist emanating from their foreheads is packed with the dreams of people and Pokémon.
